Fecha,Promedio,Máximo,Mínimo
2018-09-18,25.88791666666667,33.54,19.35
2018-09-19,26.27541666666667,34.21,18.23
2018-09-20,25.770833333333332,33.31,19.25
2018-09-21,26.815833333333334,34.54,19.04
2018-09-22,27.166666666666668,36.48,17.95
2018-09-23,27.705,37.83,18.27
2018-09-24,27.656666666666666,37.33,17.75
2018-09-25,26.90625,36.55,18.61
2018-09-26,24.74208333333333,28.59,22.1
2018-09-27,24.981666666666666,32.15,19.97
2018-09-28,24.285833333333333,33.41,16.08
2018-09-29,24.414166666666663,32.83,15.53
2018-09-30,24.928749999999997,34.11,15.38
2018-10-01,24.287916666666664,31.93,15.96
2018-10-02,19.857916666666668,29.1,10.61
2018-10-03,20.866249999999997,32.4,10.12
2018-10-04,21.872083333333336,33.13,11.5
2018-10-05,21.9725,31.83,12.66
2018-10-06,22.62625,31.4,13.03
2018-10-07,20.49,25.79,14.36
2018-10-08,17.875,25.36,9.89
2018-10-09,18.57,24.98,12.46
2018-10-10,19.641666666666666,25.62,15.84
2018-10-11,19.960416666666667,22.74,16.87
2018-10-12,20.85833333333333,24.97,17.43
2018-10-13,22.527083333333334,30.23,14.65
2018-10-14,16.861666666666668,23.1,13.98
2018-10-15,12.765,13.8,11.49
2018-10-16,16.737083333333334,23.27,13.06
2018-10-17,17.985833333333336,24.26,10.84
2018-10-18,18.631666666666664,24.6,14.54
2018-10-19,17.537499999999998,22.19,15.61
2018-10-20,18.47875,23.34,15.33
2018-10-21,19.154166666666665,23.11,16.69
2018-10-22,19.260833333333334,26.26,14.79
2018-10-23,18.325833333333332,24.83,14.44
2018-10-24,18.267083333333336,27.53,12.78
2018-10-25,17.112083333333334,25.94,10.38
2018-10-26,15.757083333333334,18.83,13.51
2018-10-27,14.726666666666667,19.26,8.73
2018-10-28,9.917083333333332,14.87,5.53
2018-10-29,10.813333333333333,14.97,6.83
2018-10-30,10.151666666666666,12.47,8.81
2018-10-31,10.677083333333334,14.19,8.04
2018-11-01,12.091666666666667,17.8,5.65
2018-11-02,16.4525,22.07,12.17
2018-11-03,14.71375,21.96,8.48
