Fecha,trend
2007-01-06,16.707391552511417
2007-01-07,16.703648401826484
2007-01-08,16.689698630136984
2007-01-09,16.669866438356163
2007-01-10,16.654997716894975
2007-01-11,16.644133561643834
2007-01-12,16.63109931506849
2007-01-13,16.623479452054795
2007-01-14,16.611118721461185
2007-01-15,16.582618721461184
2007-01-16,16.556186073059358
2007-01-17,16.547722602739725
2007-01-18,16.53167694063927
2007-01-19,16.517470319634704
2007-01-20,16.502721461187214
2007-01-21,16.491206621004565
2007-01-22,16.473327625570775
2007-01-23,16.458279680365298
2007-01-24,16.452657534246576
2007-01-25,16.450162100456623
2007-01-26,16.457905251141554
2007-01-27,16.467383561643835
2007-01-28,16.472482876712327
2007-01-29,16.4706404109589
2007-01-30,16.471138127853877
2007-01-31,16.459273972602738
2007-02-01,16.446714611872146
2007-02-02,16.437996575342464
2007-02-03,16.44311187214612
2007-02-04,16.444195205479453
2007-02-05,16.431431506849314
2007-02-06,16.419569634703198
2007-02-07,16.4089497716895
2007-02-08,16.400634703196346
2007-02-09,16.39403310502283
2007-02-10,16.384091324200917
2007-02-11,16.367542237442922
2007-02-12,16.362127853881276
2007-02-13,16.356567351598173
2007-02-14,16.355922374429227
2007-02-15,16.369365296803654
2007-02-16,16.384
2007-02-17,16.407195205479454
2007-02-18,16.426312785388127
2007-02-19,16.434333333333335
2007-02-20,16.429046803652973
2007-02-21,16.414531963470324
2007-02-22,16.40045776255708
2007-02-23,16.39176712328767
2007-02-24,16.38244292237443
2007-02-25,16.37996575342466
2007-02-26,16.385058219178084
2007-02-27,16.38394406392694
2007-02-28,16.3693801369863
2007-03-01,16.360036529680364
2007-03-02,16.34422831050228
2007-03-03,16.331858447488585
2007-03-04,16.32338812785388
2007-03-05,16.317938356164383
2007-03-06,16.308245433789953
2007-03-07,16.29635502283105
2007-03-08,16.289385844748857
2007-03-09,16.28446575342466
2007-03-10,16.275352739726028
2007-03-11,16.26166894977169
2007-03-12,16.256832191780823
2007-03-13,16.253909817351598
2007-03-14,16.244712328767122
2007-03-15,16.24866095890411
2007-03-16,16.25155593607306
2007-03-17,16.255729452054794
2007-03-18,16.26441780821918
2007-03-19,16.263934931506853
2007-03-20,16.25436301369863
2007-03-21,16.25018493150685
2007-03-22,16.24552397260274
2007-03-23,16.24995890410959
2007-03-24,16.256416666666667
2007-03-25,16.27207305936073
2007-03-26,16.283128995433792
2007-03-27,16.28477625570776
2007-03-28,16.27720091324201
2007-03-29,16.2643196347032
2007-03-30,16.258770547945204
2007-03-31,16.257908675799086
2007-04-01,16.25567123287671
2007-04-02,16.251554794520548
2007-04-03,16.242099315068494
2007-04-04,16.236124429223743
2007-04-05,16.235147260273973
2007-04-06,16.24450684931507
2007-04-07,16.249171232876712
2007-04-08,16.244441780821916
2007-04-09,16.245916666666666
2007-04-10,16.246673515981737
2007-04-11,16.241828767123287
2007-04-12,16.24330593607306
2007-04-13,16.2596894977169
2007-04-14,16.273712328767125
2007-04-15,16.278938356164385
2007-04-16,16.27846118721461
2007-04-17,16.274479452054795
2007-04-18,16.274360730593607
2007-04-19,16.278318493150685
2007-04-20,16.293020547945208
2007-04-21,16.295579908675798
2007-04-22,16.292710045662098
2007-04-23,16.284691780821916
2007-04-24,16.282897260273973
2007-04-25,16.273398401826483
2007-04-26,16.25754794520548
2007-04-27,16.243189497716894
2007-04-28,16.233690639269405
2007-04-29,16.216850456621003
2007-04-30,16.196994292237445
2007-05-01,16.187487442922375
2007-05-02,16.17492694063927
2007-05-03,16.166391552511413
2007-05-04,16.154561643835613
2007-05-05,16.14120319634703
2007-05-06,16.134352739726026
2007-05-07,16.127381278538813
2007-05-08,16.11892465753425
2007-05-09,16.107512557077627
2007-05-10,16.091446347031965
2007-05-11,16.07634132420091
2007-05-12,16.063369863013698
2007-05-13,16.05166894977169
2007-05-14,16.045652968036528
2007-05-15,16.041144977168948
2007-05-16,16.033214611872147
2007-05-17,16.02267808219178
2007-05-18,16.0020502283105
2007-05-19,15.981457762557078
2007-05-20,15.958199771689499
2007-05-21,15.934050228310504
2007-05-22,15.931692922374431
2007-05-23,15.921363013698631
2007-05-24,15.90686187214612
2007-05-25,15.883405251141554
2007-05-26,15.856240867579908
2007-05-27,15.840311643835616
2007-05-28,15.829360730593606
2007-05-29,15.81299086757991
2007-05-30,15.810220319634702
2007-05-31,15.79474086757991
2007-06-01,15.78377397260274
2007-06-02,15.771292237442923
2007-06-03,15.761448630136986
2007-06-04,15.759840182648402
2007-06-05,15.736538812785389
2007-06-06,15.717865296803655
2007-06-07,15.70912100456621
2007-06-08,15.701437214611872
2007-06-09,15.69395890410959
2007-06-10,15.71096803652968
2007-06-11,15.722105022831052
2007-06-12,15.721883561643835
2007-06-13,15.71708105022831
2007-06-14,15.711180365296803
2007-06-15,15.704714611872145
2007-06-16,15.690091324200912
2007-06-17,15.686139269406393
2007-06-18,15.678328767123286
2007-06-19,15.679579908675798
